Hoell, Larsson et al: Supplementary Dataset 2;;;;;;;;;;
;;;;;;;;;;
Transcripts: All transcripts annotated to this gene in RefSeq;;;;;;;;;;
Gene size: Base pairs from 5'-most transcript start to 3'-most transcript end;;;;;;;;;;
CCs: Crosslinked clusters (binding sites) with >= 10 reads and 25% T-to-C changes;;;;;;;;;;
Features: Number of binding sites in introns|5'UTR|CDS|3'UTR|non-coding transcript|ambigous;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Gene;Transcripts;Gene size;FUS CCs;Features;EWSR1 CCs;Features;TAF15 CCs;Features;Mutant FUS CCs;Features
PDCD6IP;NM_001162429,NR_027868,NM_013374,NR_027867;71130;6;3|0|0|0|0|3;1;0|0|0|0|0|1;1;0|0|0|0|0|1;5;0|0|0|0|0|5
PDCD7;NM_005707;16458;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PDCL;NM_005388;10560;2;1|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
PDDC1;NM_182612;10265;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE10A;NM_006661,NM_001130690;334807;40;38|0|1|1|0|0;4;2|0|0|2|0|0;7;7|0|0|0|0|0;0;0|0|0|0|0|0
PDE11A;NM_001077196,NM_001077358,NM_016953,NM_001077197;485090;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE12;NM_177966;5788;3;1|0|1|1|0|0;3;0|0|1|2|0|0;2;0|0|0|2|0|0;3;0|0|0|3|0|0
PDE1A;NM_005019,NM_001003683;380283;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE3A;NM_000921;311685;0;0|0|0|0|0|0;1;1|0|0|0|0|0;2;2|0|0|0|0|0;1;1|0|0|0|0|0
PDE3B;NM_000922;228336;5;5|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE4B;NM_002600,NM_001037341,NM_001037340,NM_001037339;582070;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE4D;NM_001197223,NM_001197222,NM_001197221,NM_001197220,NM_001197219,NM_006203,NM_001197218,NM_001104631,NM_001165899;1519060;35;34|0|0|1|0|0;2;1|0|1|0|0|0;3;3|0|0|0|0|0;1;0|0|0|1|0|0
PDE4DIP;NM_014644,NM_001198834,NM_001002812,NM_001198832,NM_022359,NM_001002811,NM_001195261,NM_001195260,NM_001002810;224763;4;4|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
PDE5A;NM_033437,NM_033430,NM_001083;134432;4;3|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE6D;NM_002601;48828;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE7A;NM_002603,NM_002604;123851;16;14|0|0|2|0|0;3;3|0|0|0|0|0;10;10|0|0|0|0|0;0;0|0|0|0|0|0
PDE8A;NM_173454,NM_002605;157168;5;5|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE8B;NM_001029853,NM_001029851,NM_001029852,NM_001029854,NM_003719;217375;5;5|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDE9A;NM_002606,NM_001001570,NM_001001574,NM_001001582,NM_001001568,NM_001001577,NM_001001578,NM_001001580,NM_001001575,NM_001001569,NM_001001579,NM_001001584,NM_001001576,NM_001001571,NM_001001585,NM_001001573,NM_001001567,NM_001001572,NM_001001581,NM_001001583;121757;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDGFC;NM_016205,NR_036641;209784;17;16|0|0|0|0|1;1;1|0|0|0|0|0;2;2|0|0|0|0|0;2;0|0|0|0|0|2
PDGFD;NM_033135,NM_025208;257114;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDGFRL;NM_006207;66708;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDHA1;NM_001173456,NM_001173454,NM_001173455,NM_000284;17815;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PDHX;NM_001135024,NM_001166158,NM_003477;79999;7;6|0|1|0|0|0;1;1|0|0|0|0|0;1;0|0|1|0|0|0;2;1|0|1|0|0|0
PDIA3;NM_005313;26215;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PDIA4;NM_004911;25629;2;0|0|2|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;4;0|0|2|2|0|0
PDIA6;NM_005742;29444;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
PDIK1L;NR_026686,NR_026685,NM_152835;14371;0;0|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|0|0|0|3;2;0|0|0|0|0|2
PDK3;NM_001142386,NM_005391;85240;8;3|0|1|4|0|0;6;0|0|0|6|0|0;0;0|0|0|0|0|0;6;0|0|0|6|0|0
PDLIM1;NM_020992;53452;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDLIM3;NM_014476,NM_001114107;34898;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDLIM5;NM_006457,NM_001011513,NM_001011515,NR_024179,NM_001011516;216340;15;13|0|0|0|0|2;3;1|0|0|0|0|2;1;1|0|0|0|0|0;7;1|0|0|0|0|6
PDPK1;NM_002613,NM_031268;65220;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PDS5A;NM_001100399,NM_001100400;155094;12;11|0|0|1|0|0;7;3|0|4|0|0|0;0;0|0|0|0|0|0;3;0|0|3|0|0|0
PDS5B;NM_015032;191595;21;19|0|0|2|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
PDSS1;NM_014317;49132;4;3|0|0|1|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
PDSS2;NM_020381;307019;7;7|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDXDC1;NM_015027;62720;1;0|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
PDXK;NM_003681;43211;3;1|0|0|2|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
PDZD11;NM_016484;3588;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PDZD8;NM_173791;92332;7;6|0|1|0|0|0;5;0|0|5|0|0|0;1;0|0|1|0|0|0;1;0|0|1|0|0|0
PDZRN3;NM_015009;242421;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEA15;NM_003768;10038;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PEAK1;NM_024776;176863;7;6|0|1|0|0|0;5;1|0|1|3|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEG10;NM_001184962,NM_001040152,NM_001172438,NM_001172437,NM_015068,NM_001184961;13370;5;0|0|0|4|0|1;9;0|0|0|7|0|2;5;0|0|0|5|0|0;13;0|0|0|12|0|1
PELI1;NM_020651;51820;6;3|1|0|2|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0;3;0|0|0|3|0|0
PELI2;NM_021255;182939;7;6|0|0|1|0|0;4;1|0|0|3|0|0;0;0|0|0|0|0|0;4;0|0|0|4|0|0
PELP1;NM_014389;32954;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEMT;NM_148173,NM_007169,NM_148172;86118;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEPD;NM_000285,NM_001166057,NM_001166056;134945;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PER2;NM_022817;44529;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PERP;NM_022121;19019;3;1|0|0|2|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;2;0|0|1|1|0|0
PET112L;NM_004564;90367;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEX1;NM_000466;41509;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEX10;NM_153818,NM_002617;7770;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PEX12;NM_000286;3843;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEX13;NM_002618;34314;0;0|0|0|0|0|0;2;1|0|0|1|0|0;2;1|0|0|1|0|0;2;1|0|0|1|0|0
PEX14;NM_004565;155816;5;5|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEX19;NM_002857,NR_036493,NR_036492,NM_001193644;8343;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;4;0|0|0|0|0|4
PEX2;NM_001079867,NM_001172086,NM_001172087,NM_000318;20787;2;0|0|1|1|0|0;2;0|0|1|1|0|0;1;0|0|1|0|0|0;2;0|0|1|1|0|0
PEX3;NM_003630;39834;2;2|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
PEX5;NM_001131026,NM_001131023,NM_001131025,NM_001131024,NM_000319;29411;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
PEX6;NM_000287;15371;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PEX7;NM_000288;91371;2;2|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PFAS;NM_012393;21214;0;0|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;3;0|0|1|2|0|0
PFDN1;NM_002622;58055;4;4|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PFDN2;NM_012394;17521;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PFDN4;NM_002623;11991;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0
PFKFB3;NM_001145443,NM_004566;90665;3;3|0|0|0|0|0;0;0|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0
PFKM;NM_001166686,NM_000289,NM_001166688,NM_001166687;40532;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PFKP;NM_002627;69245;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PFN1;NM_005022;2879;2;0|0|1|1|0|0;3;0|0|0|3|0|0;2;0|0|0|2|0|0;4;0|0|1|3|0|0
PFN2;NM_053024,NM_002628;6051;2;0|0|0|2|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;4;0|0|0|4|0|0
PGAM1;NM_002629;7172;2;1|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PGAM5;NM_138575,NM_001170543,NM_001170544;11931;2;0|0|0|2|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;2;0|0|0|2|0|0
PGAP1;NM_024989;93727;7;3|0|2|2|0|0;4;0|0|1|3|0|0;0;0|0|0|0|0|0;3;0|0|1|2|0|0
PGAP2;NR_027016,NM_001145438,NR_027014,NM_014489,NR_027018,NR_027015,NR_027017;28629;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|0|1
PGBD1;NM_001184743,NM_032507;21013;1;1|0|0|0|0|0;1;0|0|0|1|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
PGBD5;NM_024554;56000;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PGCP;NM_016134;498224;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PGGT1B;NM_005023;52043;6;5|0|0|1|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PGLS;NM_012088;9666;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PGM1;NM_002633,NM_001172818,NM_001172819;66971;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|0|1
PGM2;NM_018290;36278;1;1|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PGM2L1;NM_173582;68142;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PGM3;NM_015599;24308;0;0|0|0|0|0|0;3;2|0|1|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
PGRMC1;NM_006667;8219;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;4;0|0|0|4|0|0
PGRMC2;NM_006320;19593;8;3|0|0|5|0|0;2;1|0|0|1|0|0;4;1|0|0|3|0|0;4;0|0|0|4|0|0
PGS1;NM_024419;45905;2;2|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PHACTR1;NM_030948;569689;6;6|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
PHACTR2;NM_001100166,NM_014721,NM_001100164,NM_001100165;223006;6;5|0|0|1|0|0;5;0|0|0|5|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0
PHACTR4;NM_001048183,NM_023923;130789;4;4|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;3;0|0|0|3|0|0
PHB2;NM_001144831,NM_007273;5402;1;0|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PHC1;NM_004426;26745;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHC2;NM_004427,NM_198040;51971;2;1|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHC3;NM_024947;94170;10;4|0|0|6|0|0;7;0|0|0|7|0|0;1;0|0|0|1|0|0;4;0|0|0|4|0|0
PHF10;NM_018288,NM_133325;20106;2;1|0|0|1|0|0;3;3|0|0|0|0|0;0;0|0|0|0|0|0;4;3|0|0|1|0|0
PHF11;NM_001040443,NM_001040444;33317;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHF12;NM_001033561,NM_020889;46238;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PHF14;NR_033436,NM_014660,NR_033435;195752;15;15|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHF16;NM_001077445,NM_014735;148906;2;2|0|0|0|0|0;3;0|0|0|3|0|0;0;0|0|0|0|0|0;4;0|0|0|4|0|0
PHF17;NM_024900,NM_199320;65601;1;0|0|0|0|0|1;2;0|0|0|0|0|2;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHF19;NM_015651,NM_001009936;21676;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHF2;NM_005392;102961;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;4;0|0|0|4|0|0
PHF20;NM_016436;178366;6;3|0|0|3|0|0;6;1|0|0|5|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
PHF20L1;NM_032205,NM_016018,NM_198513;73449;12;11|0|0|0|0|1;3;2|0|0|1|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0
PHF21A;NM_001101802,NM_016621;192116;5;5|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHF21B;NM_001135862,NM_138415;128767;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PHF3;NM_015153;67975;16;13|0|2|1|0|0;9;2|0|6|1|0|0;4;1|0|2|1|0|0;6;0|0|4|2|0|0
PHF6;NM_032335,NM_032458,NM_001015877;55481;8;5|1|0|2|0|0;15;3|0|0|11|0|1;1;0|0|0|1|0|0;11;0|1|0|10|0|0
PHGDH;NM_006623;32431;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHIP;NM_017934;143876;41;35|0|2|4|0|0;14;11|0|0|3|0|0;15;12|0|0|3|0|0;10;6|0|0|4|0|0
PHKA1;NM_001122670,NM_002637,NM_001172436;135366;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|0|1|0|0
PHKA2;NM_000292;92065;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHKB;NM_000293,NM_001031835;240225;9;9|0|0|0|0|0;1;1|0|0|0|0|0;1;0|0|1|0|0|0;2;0|0|2|0|0|0
PHLDB2;NM_001134437,NM_001134438,NM_145753,NM_001134439;244038;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHLPP1;NM_194449;264995;19;19|0|0|0|0|0;4;3|0|1|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0
PHLPP2;NM_015020;69853;1;0|0|1|0|0|0;3;0|0|0|3|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PHRF1;NM_020901;35740;2;1|0|0|1|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PHTF1;NM_006608;61954;4;4|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
PHTF2;NM_001127358,NM_001127359,NM_020432,NM_001127357,NM_001127360;158713;5;5|0|0|0|0|0;5;1|0|0|4|0|0;1;1|0|0|0|0|0;4;0|0|1|3|0|0
PHYH;NM_006214,NM_001037537;22335;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PI15;NM_015886;30493;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PI4K2B;NM_018323;45179;3;1|0|0|2|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;3;0|0|0|3|0|0
PI4KA;NM_058004,NM_002650;151092;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PI4KB;NM_001198775,NM_002651,NM_001198774,NM_001198773;35919;0;0|0|0|0|0|0;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIAS1;NM_016166;133833;13;13|0|0|0|0|0;8;6|0|2|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0
PIAS2;NM_173206,NM_004671;105407;5;5|0|0|0|0|0;4;4|0|0|0|0|0;2;2|0|0|0|0|0;1;0|0|1|0|0|0
PIBF1;NM_006346;234362;20;20|0|0|0|0|0;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PICALM;NM_007166,NM_001008660;111624;15;14|0|1|0|0|0;2;2|0|0|0|0|0;1;1|0|0|0|0|0;3;0|0|1|2|0|0
PIGA;NM_020473,NR_033835,NR_033836,NM_002641;16104;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|0|0|1
PIGB;NM_004855;36714;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIGC;NM_002642,NM_153747;2634;1;0|1|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|1|0|0|0|0
PIGF;NM_002643,NM_173074;35839;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIGG;NM_017733,NM_001127178;40332;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|1|0|0|0
PIGK;NM_005482;130466;5;4|0|0|1|0|0;3;3|0|0|0|0|0;0;0|0|0|0|0|0;3;0|0|1|2|0|0
PIGL;NM_004278;109065;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIGM;NM_145167;4322;2;0|0|0|2|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0;2;0|0|1|1|0|0
PIGN;NM_012327,NM_176787;142832;5;5|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
PIGO;NM_032634,NM_152850;7892;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;2;1|0|0|1|0|0
PIGP;NM_153682,NR_028352,NM_153681;7795;1;0|0|0|0|0|1;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIGS;NM_033198;18482;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PIGT;NM_015937,NM_001184730,NM_001184729,NM_001184728;10178;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIGU;NM_080476;116744;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIGW;NM_178517;3748;2;0|0|0|2|0|0;1;0|0|0|1|0|0;2;0|0|2|0|0|0;2;0|0|1|1|0|0
PIGX;NM_017861,NM_001166304;23632;2;2|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;3;1|0|0|2|0|0
PIGY;NM_032906,NM_001042616;2821;3;0|0|0|1|0|2;2;0|0|0|0|0|2;2;0|0|0|1|0|1;1;0|0|0|1|0|0
PIK3C2A;NM_002645;83231;2;1|0|0|1|0|0;5;0|0|2|3|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIK3C3;NM_002647;126248;9;9|0|0|0|0|0;3;3|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIK3CA;NM_006218;86187;6;6|0|0|0|0|0;3;2|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIK3CB;NM_006219;103955;3;2|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIK3R1;NM_181524,NM_181523,NM_181504;75188;1;0|0|0|1|0|0;2;0|0|0|2|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIK3R3;NM_003629,NM_001114172;92897;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIK3R4;NM_014602;67919;6;6|0|0|0|0|0;1;0|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIKFYVE;NM_015040,NM_152671,NM_001178000;92485;6;5|0|1|0|0|0;3;1|0|1|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PILRA;NM_013439,NM_178273,NM_178272;26655;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
PILRB;NR_036570,NM_178238,NR_036569;31767;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIM3;NM_001001852;3578;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIN1;NM_006221;14360;1;0|0|1|0|0|0;1;0|0|1|0|0|0;1;0|0|1|0|0|0;2;0|0|1|1|0|0
PIN4;NM_001170747,NR_033187,NM_006223;82289;2;2|0|0|0|0|0;1;1|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0
PINK1;NM_032409;18057;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PINX1;NM_017884;74416;5;5|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIP4K2A;NM_005028;179738;11;11|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;2;0|0|0|2|0|0
PIP4K2B;NM_003559;34215;2;0|0|1|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
PIP4K2C;NM_001146259,NM_001146258,NM_001146260,NM_024779;12270;1;0|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIP5K1A;NM_003557,NM_001135637,NM_001135636,NM_001135638;50987;5;4|0|0|1|0|0;3;1|0|0|2|0|0;2;0|0|0|2|0|0;3;0|0|0|3|0|0
PIP5K1B;NM_003558;303476;2;2|0|0|0|0|0;2;2|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIP5K1C;NM_012398,NM_001195733;70299;2;1|0|0|1|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PIR;NM_003662,NM_001018109;108541;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PISD;NM_014338;12332;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PITPNA;NM_006224;44828;2;1|0|1|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PITPNB;NM_012399;67599;18;15|0|2|1|0|0;1;1|0|0|0|0|0;3;2|0|1|0|0|0;1;0|0|1|0|0|0
PITPNC1;NM_181671,NM_012417;315724;0;0|0|0|0|0|0;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PITRM1;NM_014889;35084;1;1|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0
PITX2;NM_153427,NM_000325,NM_153426;19929;0;0|0|0|0|0|0;0;0|0|0|0|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0
PJA1;NM_145119,NM_001032396,NM_022368;4785;1;0|0|0|1|0|0;0;0|0|0|0|0|0;1;0|0|0|1|0|0;1;0|0|0|1|0|0
